Address,Count,Business,Longitude,Latitude
1 Liberty Plaza,1,Fidelity Investments,-74.0108873,40.7096863
10 Battery Place,1,The View at Battery Park,-74.015714,40.702997
100 Broad Street,1,Ampia,-74.012096,40.703459
104 Trinity Place,2,"Harrys Pizza, Lazzaro Carved Meat & Rotisserie",-74.0120054,40.7095464
106 Greenwich Street,1,Dragon Horn Bubble Tea,-74.0136127,40.7085336
122 Nassau Street,1,Pace Gourmet Deli,-74.006767,40.7108429
155 Chambers Street,1,16 Handles,-74.010036,40.715996
20 Broad Street,1,Blue Bottle Coffee,-74.0113826,40.7067997
200 Broadway,1,Krispy Kreme,-74.0089171,40.7104473
200 Water Street,1,Caravan Uyghur Cuisine,-74.0067575,40.7073413
261 Water Street,1,Thai Farm Kitchen,-74.00172361,40.7082435
45 John Street,1,Suited,-74.0079162,40.7093194
56 Pine Street,1,Scoops & Snacks,-74.008381,40.706772
71 Nassau Street,1,Salt & Pepper,-74.008546,40.709758
74 Warren Street,1,Homemade by Miriam,-74.01010077,40.71524033
88 Greenwich Street,1,7-Eleven,-74.0143621,40.7081175
