Address,Count,Business,Longitude,Latitude
1 Fulton Street,1,10 Corso Como,-74.0032893,40.7067825
1 Hanover Square,1,Financier Patisserie,-74.009734,40.7046145
119 South Street,1,The Paris Cafe´,-74.0015425,40.7073164
126 Nassau Street,1,The Beekman Pub,-74.006595,40.711139
156 Chambers Street,1,Mariachi's,-74.01007232,40.71580045
156 Front Street,1,Chase Bank,-74.005795,40.706101
17 John Street,1,The Assemblage,-74.00880803,40.70988819
200 Water Street,1,The Chubby Princess,-74.0067575,40.7073413
21 South End Avenue,1,Ningbo Cafe,-74.016842,40.713273
261 Water Street,1,ACQUA at Peck Slip,-74.00172361,40.7082435
38 Warren Street,2,"7-Eleven, Sleepy's",-74.00845479,40.71452058
50 Murray Street,1,Schnipper's Quality Kitchen,-74.0100543,40.7141901
56 Pine Street,1,Green Healthy Food Cafe,-74.008381,40.706772
66 West Broadway,1,Vin Sur Vingt,-74.0099756,40.71479064
70 Fulton Street,1,R&R Coffee,-74.00539203,40.70890622
77 Warren Street,1,Warren 77,-74.01030731,40.71513884
90 West Broadway,1,Capital One Bank,-74.00949576,40.71553359
